更新时间,#genre#
20260814 02:28,url

RespoTime,whitelist,#genre#
4.17ms,hBloomberg,ttp://bgdc.live:25461/rodneyb5777/5777/15336
6.25ms,Hallmark Family (1080p),http://40.160.24.53/HALLMARK_DRAMA/index.m3u8
6.36ms,QVC (720p),http://40.160.24.55/QVC/index.m3u8
6.37ms,National Geographic (720p),http://40.160.24.53/NAT_GEO/index.m3u8
6.44ms,MTV (720p),http://40.160.24.53/MTV/index.m3u8
6.51ms,RFD-TV (1080p),http://40.160.24.55/RFD-TV/index.m3u8
6.56ms,The Cowboy Channel (720p),http://40.160.24.56/THE_COWBOY_CHANNEL_SD/index.m3u8
6.64ms,Dabl (720p),http://40.160.24.56/DABL/index.m3u8
6.71ms,MeTV (720p),http://40.160.24.53/METV/index.m3u8
6.75ms,Cozi TV (720p),http://40.160.24.56/COZI_TV_SD/index.m3u8
6.75ms,TV Land (720p),http://40.160.24.55/TV_LAND/index.m3u8
6.79ms,Start TV (720p),http://40.160.24.55/START_TV/index.m3u8
6.81ms,Starz Encore (1080p),http://40.160.24.55/STARZ_ENCORE/index.m3u8
6.82ms,VH1 West (720p),http://40.160.24.55/VH1_WEST/index.m3u8
6.86ms,TV One (1080p),http://40.160.24.55/TV_ONE/index.m3u8
6.88ms,Starz Edge (1080p),http://40.160.24.55/STARZ_EDGE/index.m3u8
6.91ms,Showtime 2 (1080p),http://40.160.24.55/SHOWTIME_2/index.m3u8
6.96ms,Fox News Channel (720p),http://40.160.24.56/FOX_NEWS_SD/index.m3u8
7.01ms,MTV2 (1080p),http://40.160.24.53/MTV2/index.m3u8
7.04ms,MTV Live (1080p),http://40.160.24.53/MTV_LIVE/index.m3u8
7.06ms,Starz West (720p),http://40.160.24.55/STARZ_WEST/index.m3u8
7.08ms,Logo (720p),http://40.160.24.53/LOGO_TV/index.m3u8
7.13ms,Up TV (1080p),http://40.160.24.55/Up_TV/index.m3u8
7.14ms,Showtime Extreme (1080p),http://40.160.24.55/SHOWTIME_EXTREME/index.m3u8
7.16ms,PixL TV (720p),http://40.160.24.55/PIXL/index.m3u8
7.18ms,Outdoor Channel HD (1080p),http://40.160.24.55/OUTDOOR_CHANNEL/index.m3u8
7.36ms,Sportsman Channel (720p),http://40.160.24.55/Sportsman_Channel/index.m3u8
7.43ms,Newsmax TV (720p),http://40.160.24.53/NEWSMAX/index.m3u8
7.45ms,FETV (720p),http://40.160.24.56/FETV_SD/index.m3u8
7.46ms,Great American Family (1080p),http://40.160.24.58/GAC_FAMILY/index.m3u8
7.47ms,National Geographic Wild (720p),http://40.160.24.53/NAT_GEO_WILD/index.m3u8
7.48ms,MTV Classic (576p),http://40.160.24.53/MTV_CLASSIC/index.m3u8
7.48ms,Nick Jr. (1080p),http://40.160.24.55/NICK_JR/index.m3u8
7.51ms,WeatherNation (1080p),http://40.160.24.55/WEATHER_NATION/index.m3u8
7.53ms,INSP (720p),http://40.160.24.53/INSP/index.m3u8
7.53ms,Paramount Network (720p),http://40.160.24.55/PARAMOUNT_CHANNEL/index.m3u8
7.53ms,Showtime (720p),http://40.160.24.55/SHOWTIME/index.m3u8
7.57ms,Sundance TV (720p),http://40.160.24.55/SUNDANCE/index.m3u8
7.59ms,One America News Network (1080p),http://40.160.24.55/ONE_AMERICA_NEWS/index.m3u8
7.67ms,USA Network (1080p),http://40.160.24.55/USA_NETWORK/index.m3u8
7.73ms,Laff (1080p),http://40.160.24.53/LAFF_TV/index.m3u8
7.77ms,Showtime West (720p),http://40.160.24.55/SHOWTIME_WEST/index.m3u8
7.80ms,Cleo TV (720p),http://40.160.24.56/Cleo_TV_SD/index.m3u8
7.81ms,ESPN Deportes (720p),http://40.160.24.58/ESPN_DEPORTES/index.m3u8
7.81ms,HSN (720p),http://40.160.24.53/HSN/index.m3u8
7.81ms,NewsNation (720p),http://40.160.24.58/NEWSNATION/index.m3u8
7.84ms,Pursuit Channel (1080p),http://40.160.24.55/PURSUIT/index.m3u8
7.90ms,Smithsonian Channel (1080p),http://40.160.24.55/SMITHSONIAN/index.m3u8
7.93ms,VH1 (720p),http://40.160.24.55/VH1/index.m3u8
7.94ms,Lifetime Real Women (576p),http://40.160.24.58/LIFETIME_REAL_WOMEN/index.m3u8
8.00ms,Fox Business Network (720p),http://40.160.24.56/FOX_BUSINESS_SD/index.m3u8
8.00ms,Lifetime (720p),http://40.160.24.53/LIFETIME/index.m3u8
8.00ms,Showtime Next (720p),http://40.160.24.55/SHOWTIME_NEXT/index.m3u8
8.03ms,Pop TV (720p),http://40.160.24.55/POP/index.m3u8
8.03ms,TeenNick (720p),http://40.160.24.55/TEEN_NICK/index.m3u8
8.04ms,Nicktoons (720p),http://40.160.24.55/NICKTOONS/index.m3u8
8.09ms,FX Movie Channel (720p),http://40.160.24.56/FXM_SD/index.m3u8
8.14ms,Ovation (1080p),http://40.160.24.55/OVATION/index.m3u8
8.23ms,Oxygen (720p),http://40.160.24.55/OXYGEN/index.m3u8
8.37ms,Showtime Women (720p),http://40.160.24.55/SHOWTIME_WOMEN/index.m3u8
8.40ms,Justice Central TV (720p),http://40.160.24.53/JUSTICE_CENTRAL/index.m3u8
8.67ms,RT en Espanol (1080p),http://15.204.246.24:8080/RTHD/index.m3u8
8.70ms,北京财经,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv5&videoTVChannel=btv5&P2PChannelID=pd://cctv_p2p_hdbtv5&tai=btv5&VideoName=btv5&channelID=btv5
8.83ms,We TV (720p),http://40.160.24.55/WE_TV/index.m3u8
9.03ms,ActionMax (720p),http://40.160.24.56/ACTIONMAX_SD/index.m3u8
9.53ms,WFUT-DT1 (720p) [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/wfut/wfut.isml/hls/wfut.m3u8
10.57ms,SportsNet New York (1080p),http://40.160.24.55/SNY/index.m3u8
11.27ms,CBS News 24/7 (720p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_24.m3u8
11.98ms,CBS News 24/7 (360p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_21.m3u8
12.15ms,NBC News NOW (240p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_6.m3u8
12.76ms,CBC News (576p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master576P.m3u8
12.78ms,CBC News (720p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master720p.m3u8
13.34ms,CTi News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
13.56ms,USA Network West (1080p),http://40.160.24.55/USA_NETWORK_WEST/index.m3u8
13.68ms,NBC News NOW (720p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_4.m3u8
13.73ms,CBC News (360p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master360P.m3u8
14.07ms,WLTV-DT1 [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/wltv/wltv.isml/hls/wltv.m3u8
14.09ms,Stingray Classica (1080p),https://lotus.stingray.com/manifest/classica-cla008-montreal/samsungtvplus/ab2001ec-760a-3ffc-94e5-f8a15e702859/5711200/manifest.m3u8
14.58ms,Sky News (432p),https://d25w9q07b2mtmw.cloudfront.net/live/master_1.m3u8
14.67ms,🔀逃学威龙2,https://alimov2.a.kwimgs.com/upic/2021/12/28/16/BMjAyMTEyMjgxNjUxMzhfNDAzMDAxOTlfNjM2ODQ1ODYxNzhfMF8z_b_Ba5bdfedb34d432e906dbc401975d5387.mp4
14.70ms,NBC News NOW (360p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_2.m3u8
14.94ms,CBC News (480p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master480P.m3u8
15.17ms,甜蜜蜜,https://alimov2.a.kwimgs.com/upic/2022/05/12/08/BMjAyMjA1MTIwODUyNTZfOTU2MzA3MDg4Xzc0MjA5MTk5NTEzXzJfMw==_b_Bed65d2117b15f1124a4a799e7ee95fed.mp4?clientCacheKey=3xcwyrpkgu2v2k6_b.mp4&tt=b&di=24710b15&bp=10000
15.18ms,Reuters TV (240p),https://amg00453-reuters-amg00453c1-xumo-us-2073.playouts.now.amagi.tv/reuters-reuters-hls/playlist240P.m3u8
15.29ms,春晚1988,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
15.55ms,Sky News (360p),https://d25w9q07b2mtmw.cloudfront.net/live/master_2.m3u8
15.63ms,广东新闻,https://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
15.74ms,Sky News (216p),https://d25w9q07b2mtmw.cloudfront.net/live/master_6.m3u8
15.83ms,那个谁,https://alimov2.a.kwimgs.com/upic/2023/05/26/11/BMjAyMzA1MjYxMTEyMDJfMjk4Mjk3ODMxOF8xMDM5NjY4MjE1OTBfMl8z_b_Bcc6eb6ccadec6fb846db0e43bebd553d.mp4?clientCacheKey=3x9jrbwim3x3tug_b.mp4&tt=b&di=75b3b1ea&bp=10000
15.91ms,CCTV9576,https://xykt-fix.github.io/Y77.m3u8
15.97ms,KMEX-DT1 [Geo-blocked],https://streaming-live-fcdn.api.prd.univisionnow.com/kmex/kmex.isml/hls/kmex.m3u8
16.06ms,Reuters TV (576p),https://amg00453-reuters-amg00453c1-xumo-us-2073.playouts.now.amagi.tv/reuters-reuters-hls/playlist576P.m3u8
16.10ms,燕无歇,https://alimov2.a.kwimgs.com/upic/2022/05/15/21/BMjAyMjA1MTUyMTUzMThfOTU2MzA3MDg4Xzc0NTE4NDk5NTUxXzJfMw==_b_Bf282359c98f44edb4e8feb136fe943f9.mp4?clientCacheKey=3xzk28xfm447ig2_b.mp4&tt=b&di=7a61dca2&bp=10000
16.17ms,你的眼神,https://alimov2.a.kwimgs.com/upic/2023/06/20/08/BMjAyMzA2MjAwODI4MzhfMzM5Njk4MTMyNl8xMDU5NjQ3NTA5MzdfMF8z_b_Be3c3571129119949480139b9f913048a.mp4
16.22ms,Reuters TV (360p),https://amg00453-reuters-amg00453c1-xumo-us-2073.playouts.now.amagi.tv/reuters-reuters-hls/playlist360P.m3u8
16.23ms,靖天戏剧,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv058
16.27ms,WXTV-DT1,https://streaming-live-fcdn.api.prd.univisionnow.com/wxtv/wxtv.isml/hls/wxtv.m3u8
16.31ms,QVC Beauty Ⓢ,https://qvcuk-live.akamaized.net/hls/live/2097112/qby/3/3.m3u8
16.33ms,哥哥不要把我忘,https://alimov2.a.kwimgs.com/upic/2022/05/11/07/BMjAyMjA1MTEwNzIzMTlfOTU2MzA3MDg4Xzc0MTM2ODE2ODIyXzJfMw==_b_B34a8ce553bf382767cc3e00a3305ed0b.mp4?clientCacheKey=3x2ni3pijxtu7se_b.mp4&tt=b&di=24712050&bp=10000
16.56ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-8.m3u8
16.57ms,Stingray Classica (720p),https://lotus.stingray.com/manifest/classica-cla008-montreal/samsungtvplus/ab2001ec-760a-3ffc-94e5-f8a15e702859/3291200/manifest.m3u8
16.66ms,白日烟火,https://alimov2.a.kwimgs.com/upic/2023/10/24/11/BMjAyMzEwMjQxMTMyMzJfMjk4Mjk3ODMxOF8xMTU2NjAxOTE5MjVfMl8z_b_B2690f44d73a94ef073ca12944e22b34d.mp4?tag=1-1706079571-unknown-0-gsezwim9oj-0b2c165154512fc9&clientCacheKey=3xk9jjnavt5rxis_b.mp4&di=75b3b1ea&bp=10000&tt=b&ss=vp
16.70ms,Reuters TV (720p),https://amg00453-reuters-amg00453c1-xumo-us-2073.playouts.now.amagi.tv/reuters-reuters-hls/playlist720p.m3u8
16.71ms,Sky News (720p),https://d25w9q07b2mtmw.cloudfront.net/live/master_4.m3u8
16.77ms,NBC News NOW (432p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_1.m3u8
16.79ms,SPIN (360p),https://bec-spin-1-us.plex.wurl.tv/1200.m3u8
16.99ms,CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-2.m3u8
16.99ms,ABC News Live 3 (720p),https://abcnews-streams.akamaized.net/hls/live/2023562/abcnewshudson3/master.m3u8
17.02ms,网络神曲,https://alimov2.a.kwimgs.com/bs3/video-hls/5223049755640550547_hlsb.m3u8
17.02ms,走在人生的路口,https://alimov2.a.kwimgs.com/upic/2022/05/13/05/BMjAyMjA1MTMwNTU2MzlfOTU2MzA3MDg4Xzc0MjcyNjY1NDMyXzJfMw==_b_B82cc373a578ca8269c33b98bf1a9ec82.mp4?clientCacheKey=3xim5k9jgv9c7g2_b.mp4&tt=b&di=7b8b3d17&bp=10000
17.10ms,金川新闻综合,https://t.freetv.fun/live/jin-chuan-xin-wen-zong-he-2.m3u8
17.11ms,红尘毒酒,https://alimov2.a.kwimgs.com/upic/2023/12/05/20/BMjAyMzEyMDUyMDQ0MjRfMjk4Mjk3ODMxOF8xMTg5MjgwODY0MDdfMl8z_b_B66c54baba6ccf30ce64e1ba05d16a178.mp4?clientCacheKey=3xud6b4c3gkstsq_b.mp4&tt=b&di=75b3b1ea&bp=10000
17.12ms,河北农民,https://t.freetv.fun/live/he-bei-nong-min-1.m3u8
17.21ms,上虞新商都,https://t.freetv.fun/live/shang-yu-xin-shang-du.m3u8
17.27ms,Telesur,https://raw.githubusercontent.com/BellezaEmporium/IPTV_Exception/master/channels/ve/telesur.m3u8
17.31ms,浙江新闻,https://t.freetv.fun/live/zhe-jiang-xin-wen-2.m3u8
17.51ms,NOON Kids,https://t.freetv.fun/live/on-kids-1.m3u8
17.67ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-7.m3u8
17.68ms,TeleRadioStereo Ⓣ,https://www.twitch.tv/teleradiostereo
17.78ms,CHC影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-5.m3u8
17.92ms,CBC News (240p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master240P.m3u8
17.94ms,CHC动作电影,https://t.freetv.fun/live/chcdong-zuo-dian-ying-4.m3u8
18.07ms,Stingray Naturescape (1080p),https://lotus.stingray.com/manifest/naturescape-a003-montreal/samsungtvplus/f7ed86a4-b8ac-38e0-a745-710077a95be6/5711200/manifest.m3u8
18.18ms,☆真的爱你,https://alimov2.a.kwimgs.com/upic/2023/08/03/17/BMjAyMzA4MDMxNzU3NTRfMzUwMDUzNzE1MV8xMDk1ODg0OTM5ODRfMl8z_b_B9cd96b94554cd360f2edf7e6afa70d89.mp4
18.19ms,CHC动作电影,https://t.freetv.fun/live/chcdong-zuo-dian-ying-6.m3u8
18.21ms,金鹰卡通,https://t.freetv.fun/live/jin-ying-qia-tong-5.m3u8
18.22ms,广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-10.m3u8
18.23ms,Reuters TV (1080p),https://amg00453-reuters-amg00453c1-xumo-us-2073.playouts.now.amagi.tv/reuters-reuters-hls/playlist1080P.m3u8
18.26ms,Teleroma 56 Ⓣ,https://www.twitch.tv/teleroma_56
18.28ms,adsport 5,https://t.freetv.fun/live/5sport.m3u8
18.38ms,SPIN (216p),https://bec-spin-1-us.plex.wurl.tv/512.m3u8
18.44ms,广东珠江,https://stream1.freetv.fun/5f12b986a77ebe5440c508c13895b3e7f8767b2a47c79f3f5fe948097e15337d.m3u8
18.44ms,衢江新闻综合,https://t.freetv.fun/live/qu-jiang-xin-wen-zong-he.m3u8
18.48ms,☆难忘,https://alimov2.a.kwimgs.com/upic/2023/08/08/14/BMjAyMzA4MDgxNDQwMTlfMzUwMDUzNzE1MV8xMDk5Nzg4MDkxNjFfMl8z_b_Bc948bd6dca1d18ddd0e8296fb62ce505.mp4
18.54ms,翡翠台,https://t.freetv.fun/live/fei-cui-tai.m3u8
18.58ms,动漫秀场,https://stream1.freetv.fun/7e65432fb94551c8a7abf4afa8996c11471807bf9cf6ec1a3e49a2c25b2c1f58.m3u8
18.60ms,青海卫视,https://stream1.freetv.fun/f8a6313467d8243dc5d3723c9143f7bab8ca7f5f027352fb7b17dab45bc83643.m3u8
18.62ms,广州综合,https://t.freetv.fun/live/yan-zhou-zong-he-7.m3u8
18.67ms,Bounce (1080p),http://40.160.24.58/BOUNCE_TV/index.m3u8
18.70ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-14.m3u8
18.71ms,38度6,https://alimov2.a.kwimgs.com/upic/2023/11/16/13/BMjAyMzExMTYxMzExNDJfMzM5Njk4MTMyNl8xMTcyNzU3MDE3NTZfMF8z_b_B6e340974a0d46c08d1013ff23c7f6b17.mp4
18.74ms,广东民生,https://t.freetv.fun/live/yan-dong-min-sheng-8.m3u8
18.74ms,兰溪新闻综合,https://t.freetv.fun/live/lan-xi-xin-wen-zong-he.m3u8
18.81ms,青海卫视,https://stream1.freetv.fun/d80dbd44304e92ebbad7fd55f71bf9a308c53fcc29593eae8aefbed892ab2a6b.m3u8
18.83ms,經典電影臺,https://t.freetv.fun/live/jing-dian-xiang-gang-dian-ying.m3u8
18.86ms,广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-3.m3u8
18.87ms,CBS NETWORK,https://t.freetv.fun/live/acc-network.m3u8
18.89ms,新昌新闻综合,https://t.freetv.fun/live/xin-chang-xin-wen-zong-he.m3u8
18.90ms,湖州公共,https://t.freetv.fun/live/hu-zhou-gong-gong-2.m3u8
18.92ms,A&E,https://t.freetv.fun/live/a-e-2.m3u8
18.98ms,广州综合,https://t.freetv.fun/live/yan-zhou-zong-he-3.m3u8
19.05ms,USA Network,https://t.freetv.fun/live/usa-network-1.m3u8
19.23ms,SPIN (540p),https://bec-spin-1-us.plex.wurl.tv/2000.m3u8
19.30ms,DW Español Ⓢ,https://dwamdstream104.akamaized.net/hls/live/2015530/dwstream104/stream04/streamPlaylist.m3u8
19.37ms,湖州公共,https://t.freetv.fun/live/hu-zhou-gong-gong-1.m3u8
19.40ms,寰宇新闻,https://t.freetv.fun/live/huan-yu-xin-wen-1.m3u8
19.49ms,浙江国际,https://t.freetv.fun/live/zhe-jiang-guo-ji-5.m3u8
19.51ms,青海卫视,https://stream1.freetv.fun/08634ae79ac958d456b3a36629c9f5c7a90eb67044c3c672a6b5442c413821aa.m3u8
19.52ms,Reuters News,https://t.freetv.fun/live/reuters.m3u8
19.55ms,此生过半,https://alimov2.a.kwimgs.com/upic/2023/12/15/15/BMjAyMzEyMTUxNTE5MjRfMzM5Njk4MTMyNl8xMTk2OTMxMDI2NDJfMF8z_b_B0799a12d42e3cfae45d5d8de022528b3.mp4
19.55ms,New K-Pop (1080p),https://newidco-newkid-1-eu.plex.wurl.tv/4300.m3u8
