白名单,#genre#
CCTV4欧洲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226009/index.m3u8
CCTV4美洲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226012/index.m3u8
CGTN英语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN西语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN俄语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN法语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN阿语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTN纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CCTV音乐之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226502/index.m3u8
CCTV经典音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226503/index.m3u8
CCTV央广新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
澳门莲花卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
海峡卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
广东南方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226249/index.m3u8
广东珠江频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226250/index.m3u8
上海东方影视频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226348/index.m3u8
杭州综合频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226337/index.m3u8
成都新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
哈尔滨综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8
佳木斯综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
牡丹江综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
鹤岗综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
漠河综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8
大庆教育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8
睛彩青少,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
车迷频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226506/index.m3u8
摄影频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
青年频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226509/index.m3u8
老年福频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
书画频道,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226511/index.m3u8
文物宝库,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226512/index.m3u8
百姓健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
央广中国之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226521/index.m3u8
央广经济之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
央广文艺之声,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226524/index.m3u8
央视频移动网,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226101/index.m3u8
白名单测速,#genre#
CBSNews24/7(540p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_22.m3u8
NU,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8
VEVO3,https://t.freetv.fun/live/vevo-country-2.m3u8
汕尾综合,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-10.m3u8
LibyaInternational,https://t.freetv.fun/live/disney-international.m3u8
МирHD,https://t.freetv.fun/live/mir-10.m3u8
ClassicMovies,https://t.freetv.fun/live/30a-tv-classic-movies.m3u8
ONTV,https://t.freetv.fun/live/onda-tv-1.m3u8
TRTMüzik,https://t.freetv.fun/live/trt-muzik.m3u8
NewsNation,https://t.freetv.fun/live/news-nation.m3u8
NU2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
ComedyCentral(NL),https://t.freetv.fun/live/comedy-central-south-park.m3u8
FOX13Seattle,https://t.freetv.fun/live/fox-13-seattle-wa.m3u8
OBSTV,https://allanf181.github.io/adaptive-streams/streams/kr/OBSGyeonginTV.m3u8
Momo2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
newsHD,https://t.freetv.fun/live/anb-news.m3u8
潮州综合,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-2.m3u8
NipponTV,https://t.freetv.fun/live/bs-nippon-tv.m3u8
Minimax,https://t.freetv.fun/live/minimax-1.m3u8
Momo1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
France24(French),https://t.freetv.fun/live/france-24-2.m3u8
VEVO1,https://t.freetv.fun/live/vevo-retro-rock.m3u8
信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
常山|澜露直播,https://stream1.freetv.fun/2b5ebb6af6fd593a4a908adbc38c7c8d31cad28c9c4b1386c00a38d91ce176bc.m3u8
CTiNews,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
MBSJAPAN,https://t.freetv.fun/live/mbs.m3u8
GeniusGoGoGo,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
C+频道,https://t.freetv.fun/live/viutv6-plus.m3u8
RTVInternational,https://t.freetv.fun/live/tnt-international.m3u8
TBNInspire,https://t.freetv.fun/live/tbn-1.m3u8
Ктоестькто,https://t.freetv.fun/live/kto-est-kto.m3u8
Ajmantv,https://t.freetv.fun/live/jan-tv.m3u8
澳门体育,http://cdn6.163189.xyz/163189/amty
AlJazeera(En),https://t.freetv.fun/live/al-jazeera.m3u8
RacingUK,https://t.freetv.fun/live/fanduel-racing.m3u8
IasiTV,https://t.freetv.fun/live/tvr-iasi.m3u8
7канал(Одесса),https://t.freetv.fun/live/piatyi-kanal.m3u8
E!HD,https://t.freetv.fun/live/e.m3u8
DiscoveryTurboUK,https://t.freetv.fun/live/discovery-turbo.m3u8
太原新闻综合,https://t.freetv.fun/live/tai-gu-xin-wen-zong-he-3.m3u8
OutdoorChannel,https://t.freetv.fun/live/outdoor-channel-tt.m3u8
PEACETV,https://t.freetv.fun/live/peace-tv-bangla.m3u8
KCBSLosAngeles,https://t.freetv.fun/live/los-angeles.m3u8
snaap!,https://t.freetv.fun/live/snap.m3u8
OMANTV,https://t.freetv.fun/live/makon-tv.m3u8
ПервыйКанал,https://t.freetv.fun/live/pervyi-kanal-6.m3u8
Bloomberg4K,https://t.freetv.fun/live/bloomberg-tv-plus-1080p.m3u8
History(USA),https://t.freetv.fun/live/pluto-tv-history.m3u8
FuelTVPortugal,https://t.freetv.fun/live/fuel-tv.m3u8
Trek,https://t.freetv.fun/live/star-trek-2.m3u8
Рыжий,https://t.freetv.fun/live/ryzhii-2.m3u8
广东移动频道,https://t.freetv.fun/live/yan-dong-yi-dong-1.m3u8
UNIVERSALTV,https://t.freetv.fun/live/univer-tv-4.m3u8
KinoTV,https://t.freetv.fun/live/lav-kino.m3u8
SonyTV,https://t.freetv.fun/live/ebony-tv.m3u8
CNNIndonesia,https://t.freetv.fun/live/yin-du-ni-xi-ya-cnn-indonesia.m3u8
РИАНОВОСТИ,https://t.freetv.fun/live/360deg-novosti-1.m3u8
НастоящееВремя,https://t.freetv.fun/live/nastoiashchee-vremia.m3u8
SportsNetwork,https://t.freetv.fun/live/fanduel-sports-network-ohio.m3u8
VEVO1,https://t.freetv.fun/live/ch-ng-vevo-70s.m3u8
HBO(TW),https://t.freetv.fun/live/hbo.m3u8
Channel8,https://t.freetv.fun/live/channel-8.m3u8
DiscoveryTurboUK,https://t.freetv.fun/live/turbo.m3u8
NBCNewsNOW,https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_5.m3u8
DiscoveryChannel(UK),https://t.freetv.fun/live/discovery-channel-1.m3u8
Мультимания,https://t.freetv.fun/live/multilandiia.m3u8
StarMoviesGold,https://t.freetv.fun/live/gold-star.m3u8
KanalD,https://t.freetv.fun/live/kanal-d2.m3u8
TopCrime,https://t.freetv.fun/live/total-crime.m3u8
中视HD[geo-blocked],https://t.freetv.fun/live/zhong-shi-16.m3u8
EstrellaTV,https://t.freetv.fun/live/entella-tv-1.m3u8
Stadium1,https://t.freetv.fun/live/stadium.m3u8
C+频道,https://t.freetv.fun/live/in-touch-plus-2.m3u8
EspresoTVNews,https://t.freetv.fun/live/espreso-tv.m3u8
BloombergTVUSA,https://t.freetv.fun/live/bloomberg-tv-plus-4.m3u8
SCTV4,https://t.freetv.fun/live/sctv4.m3u8
QPVNViệtNam,https://t.freetv.fun/live/qpvn.m3u8
